1725,-1.62e-06,-4.85e-08,0.0,1.61598e-06,1.61e-06,-1.62e-06,1.57e-06,-1.61e-06
1750,-5.79664e-06,-2.82295e-07,0.0,5.80351e-06,5.7946e-06,-5.79664e-06,5.73878e-06,-5.71496e-06
1775,-5.85e-07,-4.54e-05,2.69e-24,4.53972e-05,4.43e-05,-4.43e-05,4.34e-05,-4.54e-05
1800,2.01063e-06,-0.000360639,0.0,0.000360645,0.000351712,-0.000351536,0.000345999,-0.000360639
1812,2.19e-06,-0.000920583,0.0,0.000920586,0.000897697,-0.000897047,0.000886241,-0.000920583
1825,-2.14e-06,-0.00198987,0.0,0.001989871,0.00194324,-0.00194128,0.00193394,-0.00198987
1850,-2.69883e-05,-0.00308753,0.0,0.003087648,0.00301954,-0.00301631,0.00305029,-0.00308753
1875,-5.64e-05,-0.00343962,0.0,0.003440082,0.0033557,-0.00335124,0.00340983,-0.00343962
1900,4.65398e-05,0.00375122,4.45001e-22,0.003751509,0.00365721,-0.00365784,0.00375122,-0.00374949
1960,-1.72519e-06,0.00444693,5.28658e-22,0.00444693,0.00431306,-2.5703e-05,0.00444693,-0.00444635
2100,-4.94175e-05,-0.00564152,0.0,0.005641736,0.00543965,-0.00543943,0.00563025,-0.00564152